secretKey,secretId,mapName,levelMin,levelMax,hpMul,damageCutPct,atkMul,defMul,statMul,fireResAdd,waterResAdd,windResAdd,earthResAdd,lightResAdd,darkResAdd,extraNotes
Abandoned cave|000,10001,放棄された洞窟,250,250,,,,,,,,,,,,
Abyss_cave|000,10003,深淵の地底湖の内部,250,250,,,,,,,,,,,,
Arad|000,10004,アラト城,1250,1250,,,,,,,,,,,,
ArenaBoss1|000,10008,ブラックファイヤーエリアボス討伐,900,900,,,,,,,,,,,,
ArenaBoss3|000,10010,ゲリオの神殿,900,900,,,,,,,,,,,,
ArenaBoss3_Scenario|000,10011,ゲリオの神殿[シナリオ],900,900,,,,,,,,,,,,
ArenaBoss4|000,10012,アスタロトの洞窟,800,800,,,,,,,,,,,,
ArenaBoss7|000,10015,ファルコンの神殿,900,900,,,,,,,,,,,,
Atina_byroad|000,10017,アティナ小道,1250,1250,,,,,,,,,,,,
Bachel_Lizard_cave|000,10018,東バヘル急流カルスト洞窟のリザード洞窟,75,75,,,,,,,,,,,,
Big_rat_king|000,10019,ビックマウスダンジョンのラットキング区域,600,600,,,,,,,,,,,,
Brun_ruin|000,10020,ブルンネンシュティグ廃墟,1100,1100,,,,,,,,,,,,
Bury_corpse|000,10021,不明 (元: Bury_corpse),0,0,,,,,,,,,,,,
Cave_La|000,10022,河口ダンジョン'ラ'の隠された洞窟,210,210,,,,,,,,,,,,
Dimension_00|000,10023,第0区域-荒涼な谷,800,899,,,,,,,,,,,,
Dimension_01|000,10024,第1区域-堕落した聖なる地,900,999,,,,,,,,,,,,
Dimension_02|000,10025,第2区域-嘆きの刑務所,1000,1099,,,,,,,,,,,,
Dimension_05|000,10026,第5区域 - 深い嘆き,1300,1399,,,,,,,,,,,,
Distorted_Academy|000,10027,ねじれた士官学校,1125,1125,,,,,,,,,,,,
EliteArenaBoss1|000,10029,ヤティカヌの深層部,1250,1250,,,,,,,,,,,,
EliteArenaBoss2|000,10030,ウモスクェグマイヤーの深い所,1500,1500,,,,,,,,,,,,
Eript_Secretroute|000,10031,エリプト秘密の間道,250,250,,,,,,,,,,,,
Eripte_gorge|000,10032,エリプト蛇の道峡谷,250,250,,,,,,,,,,,,
GPB|000,10033,ギルドポイント戦,1,1,,,,,,,,,,,,
Gregory|000,10040,グレゴリーの闇市場,250,250,,,,,,,,,,,,
Hactor_Temporary_Lab|000,10041,ヘクトルの臨時研究室,1100,1100,,,,,,,,,,,,
Hactor_lab|000,10042,ヘクトルの実験室,850,850,,,,,,,,,,,,
Infertile land|000,10043,不毛の地,250,250,,,,,,,,,,,,
Jepyro_hideout|000,10044,ゼフィーロの隠れ場,750,750,,,,,,,,,,,,
Ladder_Tanumaki|000,10045,杉の憩いの場,1250,1250,,,,,,,,,,,,
Magic_tomb_curse|000,10046,魔法傭兵墓の呪われた亡者の安息所,150,150,,,,,,,,,,,,
Material_cave|000,10047,閉鎖された材料洞窟,850,850,,,,,,,,,,,,
Nychia|000,10048,逃亡者の痕跡,250,250,,,,,,,,,,,,
Ring_of_the_Primitiveness|000,10050,原始の輪,1675,1675,,,,,,,,,,,,
Ruspell|000,10051,ロシペルとの再会,250,250,,,,,,,,,,,,
Silent_lake|000,10052,沈黙の湖,250,250,,,,,,,,,,,,
SpiritsPrison|000,10053,生霊の牢屋,1250,1499,,,,,,,,,,,,
Starcasket_of_Quiet|000,10054,静寂の星棺,1250,1250,,,,,,,,,,,,
Tartars_Tomb|000,10056,タルタスの古代墓,800,800,,,,,,,,,,,,
Tellet|000,10057,テレット・トンネルの隠された洞窟,20,20,,,,,,,,,,,,
Trial_P|000,10058,試練のダンジョン(パーティー),400,400,,,,,,,,,,,,
UnchartedRegionSS|000,10060,未確認探検地南部,2000,2000,,,,,,,,,,,,
UnchartedRegion_Lab|000,10061,未確認探検地の実験室,2000,2000,,,,,,,,,,,,
Uposmires|000,10062,希望の橋,1500,1500,,,,,,,,,,,,
Venom_lab_deep|000,10063,隠蔽された実験室,2000,2000,,,,,,,,,,,,
Venom_lab_deep_story|000,10064,隠蔽された実験室,2030,2030,,,,,,,,,,,,
Yatikanu|000,10065,妖精の試験,1250,1250,,,,,,,,,,,,
alphas_hide_jail|000,10066,アルパス地下監獄の隠された地下牢,90,90,,,,,,,,,,,,
arch_devil|000,10067,アークデビル軍団の駐屯地,225,225,,,,,,,,,,,,
association_ruin|000,10068,協会廃墟,1100,1100,,,,,,,,,,,,
bug_cave|000,10069,蟲巣窟の隠された洞窟,25,25,,,,,,,,,,,,
bug_cave|001,10070,蟲巣窟の隠された洞窟,25,25,,,,,,,,,,,,
cave_of_Hesopar|000,10071,ヘソパルの洞窟,550,550,,,,,,,,,,,,
cave_of_bloodogre|000,10072,血塗られたオーガの洞窟,85,85,,,,,,,,,,,,
chaos_13|000,10073,混沌のダンジョン13段階,600,600,,,,,,,,,,,,
chaos_16|000,10074,混沌のダンジョン16段階,600,600,,,,,,,,,,,,
chaos_22|000,10078,混沌のダンジョン22段階,600,600,,,,,,,,,,,,
chaos_2|000,10079,混沌の大地2段階,600,600,,,,,,,,,,,,
chaos_3|000,10080,混沌の大地3段階,600,600,,,,,,,,,,,,
chaos_5|000,10081,混沌の大地5段階,600,600,,,,,,,,,,,,
chaos_6|000,10082,混沌の大地6段階,600,600,,,,,,,,,,,,
curse_tomb_tower|000,10086,呪いの墓に建つ呪われし塔,195,195,,,,,,,,,,,,
dead_treasure|000,10088,小さい傭兵墓に巣食う亡者共の宝物庫,225,225,,,,,,,,,,,,
destory_ruins|000,10089,崩壊した地下遺跡,950,950,,,,,,,,,,,,
drug_laboratory|000,10092,麻薬巣窟の隠された研究所,90,90,,,,,,,,,,,,
force_save|000,10093,討伐軍救出,250,250,,,,,,,,,,,,
hagu_treasure|000,10099,河口ダンジョンの隠された宝物部屋,160,160,,,,,,,,,,,,
hanov_pillow_hide|000,10100,ハノブ高台望楼の隠されたアジト,45,45,,,,,,,,,,,,
hanov_stower|000,10101,ハノブ南側望楼の隠された地下洞窟,130,130,,,,,,,,,,,,
imp_shelter|000,10102,インプの宝蔵,1000,1000,,,,,,,,,,,,
ironmine_hide|000,10103,鉄鉱山の隠された崩壊地域,65,65,,,,,,,,,,,,
mercenary_big|000,10105,傭兵達の大きな墓の不思議な妖怪部屋,95,95,,,,,,,,,,,,
mine_of_tatba|000,10106,タトバ鉱山の崩れた炭鉱,70,70,,,,,,,,,,,,
moliner tower|000,10108,モリネルタワーの隠された研究所,580,580,,,,,,,,,,,,
mysteryarea_of_Spain hall|000,10109,スパインホールのミステリーゾーン,450,450,,,,,,,,,,,,
mythrimine_hide|000,10111,ミスリル鉱山の隠された鉄鉱,55,55,,,,,,,,,,,,
nest_of_ifrit|000,10112,イフリィトの棲み処,100,100,,,,,,,,,,,,
nest_of_kingcrab|000,10113,キングクラブの巣,260,260,,,,,,,,,,,,
nest_of_thief|000,10114,盗賊団,250,250,,,,,,,,,,,,
oger_jail|000,10115,オーガ巣窟の隠された監獄,65,65,,,,,,,,,,,,
out_of_control|000,10116,暴走の根源地,850,850,,,,,,,,,,,,
patrol_tomb|000,10117,警備兵墓の封印された魂の迷宮,80,80,,,,,,,,,,,,
queen|000,10119,女王の墓,160,160,,,,,,,,,,,,
redeye_laboratory|000,10120,旧レッドアイ研究所の隠された通路,55,55,,,,,,,,,,,,
robber_hideway|000,10122,路上強盗団アジトの隠された隠れ家,30,30,,,,,,,,,,,,
ruin_goldmine|000,10123,廃坑の隠された金鉱,80,80,,,,,,,,,,,,
ruins_of_oldcastle|000,10124,古代王の墓,1,1,,,,,,,,,,,,
sacrifice_altar|000,10125,犠牲祭の祭壇,850,850,,,,,,,,,,,,
sealedarea_of_darksoul|000,10127,ダークソウルの封印場所,290,290,,,,,,,,,,,,
smug_under|000,10129,スマグ地下道の隠された地下迷宮,70,70,,,,,,,,,,,,
swebtower|000,10133,レッドアイ特殊エージェントのアジト,340,340,,,,,,,,,,,,
tantillessB3|000,10136,古代都市タティリス遺跡　Ｂ３,1,1,,,,,,,,,,,,
theif_warehouse_hide|000,10154,シーフギルド倉庫の隠された部屋,90,90,,,,,,,,,,,,
tiamath|000,10155,果てしない砂漠,245,245,,,,,,,,,,,,
tomb|000,10157,地下墓地の隠された迷路,15,15,,,,,,,,,,,,
vampirekingdom|001,10159,ヴァンパイア・キングダム,680,680,,,,,,,,,,,,
vampirekingdom|002,10160,ヴァンパイア・キングダム,680,680,,,,,,,,,,,,
water_dragon|000,10163,凍りついた城,240,240,,,,,,,,,,,,
well_of_hide|000,10164,枯れ井戸の隠された迷宮,5,5,,,,,,,,,,,,
wolf_cave|000,10165,狼巣窟の隠された通路,20,20,,,,,,,,,,,,
wolf_cave|001,10166,狼巣窟の隠された通路,20,20,,,,,,,,,,,,
